CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
813,France,Male,29,6,0.0,1,True,False,33953.87,False
657,Spain,Female,37,0,163607.18,1,False,True,44203.55,False
604,Germany,Female,25,5,157780.84,2,True,True,58426.81,False
519,France,Male,36,9,0.0,2,False,True,145562.4,False
735,France,Female,21,1,178718.19,2,True,False,22388.0,False
664,France,Male,55,8,0.0,2,True,True,139161.64,False
678,France,Female,32,9,0.0,1,True,True,148210.64,False
757,Spain,Male,33,5,77253.22,1,False,True,194239.63,False
416,Germany,Female,41,10,122189.66,2,True,False,98301.61,False
665,France,Female,34,1,96645.54,2,False,False,171413.66,False
777,France,Female,32,2,0.0,1,True,False,136458.19,True
543,France,Female,36,3,0.0,2,False,False,26019.59,False
506,France,Female,34,4,90307.62,1,True,True,159235.29,False
493,France,Female,46,4,0.0,2,True,False,1907.66,False
652,Spain,Female,75,10,0.0,2,True,True,114675.75,False
750,Spain,Male,22,3,121681.82,1,True,False,128643.35,True
729,France,Male,30,9,0.0,2,True,False,151869.35,False
646,France,Female,46,4,0.0,3,True,False,93251.42,True
635,Germany,Female,28,3,81623.67,2,True,True,156791.36,False
647,Spain,Female,44,5,0.0,3,True,True,174205.22,True
808,France,Male,45,7,118626.55,2,True,False,147132.46,False
524,France,Female,36,10,0.0,2,True,False,109614.57,False
769,France,Male,29,8,0.0,2,True,True,172290.61,False
730,Spain,Male,42,4,0.0,2,False,True,85982.47,False
515,Spain,Male,35,10,176273.95,1,False,True,121277.78,False
773,Spain,Male,41,9,102827.44,1,False,True,64595.25,False
814,Germany,Male,29,8,97086.4,2,True,True,197276.13,False
710,Spain,Male,22,8,0.0,2,False,False,99645.04,False
413,France,Male,34,9,0.0,2,False,False,6534.18,False
665,France,Female,40,6,0.0,1,True,True,161848.03,False
623,France,Female,44,6,0.0,2,False,False,167162.43,False
738,France,Male,31,9,82674.15,1,True,False,41970.72,False
528,Spain,Male,36,7,0.0,2,True,False,60536.56,False
670,Spain,Female,65,1,0.0,1,True,True,177655.68,True
622,Spain,Female,46,4,107073.27,2,True,True,30984.59,True
582,Germany,Male,32,1,88938.62,1,True,True,10054.53,False
785,Germany,Female,36,2,99806.85,1,False,True,36976.52,False
605,Spain,Male,33,5,150092.8,1,False,False,71862.79,False
479,Germany,Male,35,9,92833.89,1,True,False,99449.86,True
685,Germany,Male,30,3,90536.81,1,False,True,63082.88,False
538,Germany,Male,39,7,108055.1,2,True,False,27231.26,False
562,France,Male,42,2,100238.35,1,False,False,86797.41,False
675,Spain,Male,36,9,106190.55,1,False,True,22994.32,False
721,Germany,Male,28,9,154475.54,2,False,True,101300.94,True
628,Germany,Female,30,9,132351.29,2,True,True,74169.13,False
668,Germany,Female,37,6,167864.4,1,True,False,115638.29,False
506,France,Female,41,1,0.0,2,True,False,31766.3,False
524,Germany,Female,31,8,107818.63,1,True,False,199725.39,True
699,Germany,Male,34,4,185173.81,2,True,False,120834.48,False
828,France,Male,34,8,129433.34,2,False,False,38131.77,False
674,Spain,Male,39,6,120193.42,1,False,False,100130.95,False
656,France,Female,39,6,0.0,2,True,False,141069.88,False
684,Germany,Female,48,10,126384.42,1,True,True,198129.36,False
625,France,Female,28,3,0.0,1,False,False,183646.41,False
432,France,Male,42,9,152603.45,1,True,False,110265.24,True
549,France,Female,52,1,0.0,1,False,True,8636.05,True
625,Germany,Male,56,0,148507.24,1,True,False,46824.08,True
828,France,Female,41,7,0.0,2,True,False,171378.77,False
770,France,Male,24,9,101827.07,1,True,False,167256.35,False
758,France,Female,34,3,0.0,2,True,True,124226.16,False
795,Germany,Female,33,9,130862.43,1,True,True,114935.21,False
687,France,Male,38,9,122570.87,1,True,True,35608.88,False
686,France,Male,25,1,0.0,2,False,True,16459.37,False
789,Germany,Male,39,7,124828.46,2,True,True,124411.08,False
589,Germany,Female,50,5,144895.05,2,True,True,34941.23,False
461,Germany,Female,34,5,63663.93,1,False,True,167784.28,False
637,France,Male,40,2,133463.1,1,False,True,93165.34,False
584,Spain,Female,48,2,213146.2,1,True,False,75161.25,True
579,Spain,Female,35,1,129490.36,2,False,True,8590.83,True
756,Germany,Male,44,10,137452.09,1,True,False,189543.9,False
663,France,Male,34,7,0.0,2,True,True,180427.24,False
682,France,Female,43,5,125851.93,1,True,True,193318.33,False
793,Spain,Male,52,2,0.0,1,True,False,159123.82,True
691,France,Female,31,5,40915.55,1,True,False,126213.84,True
485,Spain,Female,21,5,113157.22,1,True,True,54141.5,False
635,Spain,Female,29,8,138296.94,2,True,False,141075.51,False
650,France,Male,37,5,106967.18,1,False,False,24495.03,False
735,France,Male,44,9,120681.63,1,True,False,74836.34,False
416,France,Male,32,0,0.0,2,False,True,878.87,False
754,Spain,Female,32,7,0.0,2,True,False,89520.75,False
535,France,Female,48,9,0.0,1,True,False,149892.79,True
716,Spain,Male,42,8,0.0,2,True,False,180800.42,False
539,France,Male,37,2,127609.59,1,True,False,98646.22,False
614,France,Female,43,6,0.0,2,True,True,109041.53,False
706,Spain,Male,57,7,0.0,1,True,False,17941.16,True
758,France,Female,33,7,0.0,2,False,False,82996.47,False
586,Spain,Female,28,2,0.0,2,True,True,92067.35,False
646,France,Female,73,6,97259.25,1,False,True,104719.66,False
631,Germany,Female,33,4,123246.7,1,False,False,112687.57,False
717,Spain,Female,22,6,101060.25,1,False,True,84699.56,False
684,France,Male,30,2,0.0,2,True,False,83473.82,False
800,France,Female,49,7,108007.36,1,False,False,47125.11,False
721,Spain,Female,36,2,0.0,2,True,True,106977.8,False
683,Spain,Male,29,0,133702.89,1,True,False,55582.54,True
660,Germany,Male,31,9,125189.75,2,True,True,139874.43,False
704,Germany,Female,24,7,113034.22,1,True,False,162503.48,True
615,Spain,Female,41,9,109013.23,1,True,False,196499.96,False
667,Spain,Female,39,2,0.0,2,True,False,40721.24,True
682,Germany,Male,24,9,57929.81,2,False,False,53134.3,False
484,France,Female,29,4,130114.39,1,True,False,164017.89,False
628,Germany,Male,27,5,95826.49,2,True,False,155996.96,False
480,Germany,Male,44,10,129608.57,1,True,False,5472.7,True
578,France,Male,30,4,169462.09,1,True,False,112187.11,False
512,France,Male,40,5,0.0,2,True,True,146457.83,False
484,Spain,Female,35,7,133868.21,1,True,True,27286.1,False
510,France,Female,30,0,0.0,2,True,True,130553.47,False
606,Germany,Male,36,5,190479.48,2,False,False,179351.89,False
597,Spain,Female,40,8,101993.12,1,False,True,94774.12,False
754,Germany,Female,55,3,161608.81,1,True,False,8080.85,True
850,Spain,Female,45,2,122311.21,1,True,True,19482.5,False
510,France,Male,65,2,0.0,2,True,True,48071.61,False
778,Germany,Female,45,1,162150.42,2,True,False,174531.27,False
636,France,Male,42,2,0.0,2,True,True,55470.78,False
804,France,Female,50,4,0.0,1,True,True,8546.87,True
514,France,Male,32,8,0.0,2,True,False,95857.18,False
730,France,Female,39,1,99010.67,1,True,False,194945.8,False
525,Spain,Female,37,0,0.0,1,False,True,131521.72,False
616,Spain,Male,30,5,0.0,2,False,True,196108.51,False
687,Germany,Female,34,7,111388.18,2,True,False,148564.76,False
715,France,Female,41,8,56214.85,2,False,False,92982.61,True
512,France,Female,36,3,84327.77,2,True,False,17675.36,False
479,France,Male,40,1,0.0,2,False,False,114996.43,False
601,France,Male,32,8,93012.89,1,True,False,86957.42,False
580,Spain,Male,29,9,61710.44,2,True,False,128077.8,False
807,France,Male,35,3,174790.15,1,True,True,600.36,False
616,Spain,Female,32,6,0.0,2,True,True,43001.46,False
721,Germany,Male,37,3,107720.64,1,True,True,158591.12,False
501,France,Male,57,10,0.0,2,True,True,47847.19,False
521,France,Male,35,6,96423.84,1,True,False,10488.44,False
850,Spain,Male,30,2,141040.01,1,True,True,5978.2,False
759,France,Male,42,4,105420.18,1,False,True,121409.06,False
516,Spain,Male,50,5,0.0,1,False,True,146145.93,True
711,France,Female,38,2,129022.06,2,True,True,14374.86,True
512,Spain,Male,33,3,176666.62,1,True,False,94670.77,False
550,France,Male,37,3,0.0,1,True,True,179670.31,False
608,Spain,Female,41,3,89763.84,1,False,False,199304.74,True
618,France,Male,34,5,134954.53,1,True,True,151954.39,False
643,France,Male,45,5,0.0,1,True,False,142513.5,True
671,France,Male,45,2,106376.85,1,False,True,158264.62,False
689,Germany,Male,33,2,161814.64,2,True,False,169381.9,False
603,France,Male,31,8,0.0,2,True,True,169915.02,False
620,France,Female,41,9,0.0,2,False,False,88852.47,False
676,France,Female,34,1,63095.01,1,True,True,40645.81,False
572,Germany,Male,26,4,118287.01,2,False,False,60427.3,False
668,Germany,Male,47,7,106854.21,1,False,True,157959.02,True
695,France,Male,46,7,49512.55,1,True,False,133007.34,False
730,Spain,Female,33,9,0.0,2,False,False,176576.62,False
807,France,Male,43,1,105799.32,2,True,False,34888.04,True
592,France,Male,54,8,0.0,1,True,True,28737.71,True
726,France,Female,31,9,114722.05,2,True,True,98178.57,False
514,Spain,Male,30,7,0.0,1,False,True,125010.24,False
567,France,Male,42,2,0.0,2,True,True,167984.61,False
850,France,Male,33,10,0.0,1,True,False,4861.72,True
671,Germany,Male,45,6,99564.22,1,True,True,108872.45,True
670,France,Male,37,4,170557.91,2,True,False,198252.88,False
694,France,Female,30,9,0.0,2,True,True,26960.31,False
547,Germany,Female,39,6,74596.15,3,True,True,85746.52,True
751,Germany,Male,50,2,96888.39,1,True,False,77206.25,True
594,Germany,Female,29,3,130830.22,1,True,False,61048.53,False
673,France,Male,72,1,0.0,2,False,True,111981.19,False
610,France,Male,40,0,0.0,2,True,False,62232.6,False
512,France,Female,37,1,0.0,2,False,True,156105.03,False
767,Germany,Male,20,3,119714.25,2,False,True,150135.38,False
585,France,Female,67,5,113978.97,2,False,True,93146.11,False
763,Germany,Male,42,6,100160.75,1,True,False,33462.94,True
712,France,Female,29,2,0.0,1,True,True,144375.0,False
539,Germany,Female,43,3,116220.5,3,True,False,55803.96,True
668,France,Female,46,2,0.0,3,True,False,89048.46,True
703,France,Male,28,2,81173.83,2,False,True,162812.16,False
662,Spain,Male,38,4,0.0,2,True,False,136259.65,False
725,Germany,Female,39,5,116803.8,1,True,False,124052.97,False
703,France,Male,37,8,105961.68,2,False,True,74158.8,False
659,Germany,Male,67,6,117411.6,1,True,True,45071.09,True
523,Spain,Male,34,7,0.0,2,True,False,62030.06,False
635,France,Female,40,10,123497.58,1,True,False,131953.23,True
772,Germany,Male,26,7,152400.51,2,True,False,79414.0,False
545,France,Female,26,1,0.0,2,True,True,199638.56,False
634,Germany,Male,24,8,103097.85,1,True,True,157577.29,False
739,Germany,Male,54,8,126418.14,1,True,False,134420.75,True
771,Germany,Female,36,5,77846.9,1,False,False,99805.99,False
587,Spain,Female,34,1,0.0,2,True,True,97932.68,False
681,France,Female,79,0,0.0,2,False,True,170968.99,False
544,Germany,Male,37,2,79731.91,1,True,True,57558.95,False
696,Spain,Male,28,8,0.0,1,False,False,176713.47,False
766,Spain,Male,41,0,0.0,2,False,True,34283.23,False
727,France,Male,34,10,0.0,2,True,True,198637.34,False
671,Germany,Female,34,6,37266.67,2,False,False,156917.12,False
693,France,Female,30,6,127992.25,1,True,True,50457.2,False
850,Germany,Male,38,3,54901.01,1,True,True,140075.55,False
732,Germany,Male,42,9,108748.08,2,True,True,65323.11,False
726,Spain,Female,48,6,99906.19,1,True,False,64323.24,False
557,France,Female,32,6,184686.41,2,True,False,14956.44,False
682,France,Female,26,0,110654.02,1,False,True,111879.21,False
738,Spain,Male,31,9,79019.8,1,True,True,18606.23,False
531,Spain,Female,36,9,99240.51,1,True,False,123137.01,False
498,France,Male,34,2,0.0,2,True,True,148528.24,False
651,France,Male,36,7,0.0,2,True,False,13898.31,False
549,Spain,Female,39,7,0.0,1,False,False,81259.25,True
791,Germany,Female,35,7,52436.2,1,True,False,161051.75,False
650,Spain,Male,41,9,0.0,2,False,True,191599.67,False
733,Germany,Male,34,3,100337.96,3,True,False,48559.19,True
811,Germany,Female,34,1,149297.19,2,True,True,186339.74,False
707,France,Male,30,8,0.0,2,True,False,33159.37,False
712,Germany,Male,28,4,145605.44,1,False,True,93883.53,False
706,Spain,Female,37,7,0.0,2,True,True,110899.3,False
756,France,Male,62,3,0.0,1,True,True,11199.04,True
777,France,Female,53,10,0.0,2,True,False,189992.97,False
646,France,Male,35,6,84026.86,1,False,True,164255.69,False
714,France,Male,46,1,0.0,1,True,False,152167.79,True
782,France,Male,39,8,0.0,2,True,True,33949.67,False
775,Spain,Male,29,10,0.0,2,True,True,68143.93,False
479,Germany,Male,35,4,138718.92,1,True,True,47251.79,True
807,France,Male,42,7,118274.71,1,True,True,25885.72,False
799,France,Female,22,8,174185.98,2,False,True,192633.85,False
675,France,Male,40,7,113208.86,2,True,False,34577.36,False
602,Spain,Male,29,5,103907.28,1,True,False,161229.84,False
475,France,Female,32,8,119023.28,1,True,False,100816.29,False
744,Spain,Female,26,5,166297.89,1,True,True,181694.44,False
588,Spain,Male,34,10,0.0,2,True,False,79078.91,False
703,Germany,Male,42,9,63227.0,1,False,True,137316.32,False
747,Spain,Female,41,5,94521.17,2,True,False,194926.86,False
583,France,Male,27,7,0.0,2,True,False,51285.49,False
750,Spain,Female,34,9,112822.26,1,False,False,150401.53,True
681,France,Male,38,3,0.0,2,True,True,112491.96,False
773,France,Male,25,2,135903.33,1,True,False,73656.38,False
714,France,Female,31,4,125169.26,1,True,True,106636.89,False
687,Spain,Female,44,7,0.0,3,True,False,155853.52,True
511,France,Male,58,0,149117.31,1,True,True,162599.51,False
627,France,Male,33,5,0.0,2,True,True,103737.82,False
694,France,Female,31,10,0.0,2,True,False,160990.27,False
616,Spain,Female,36,6,132311.71,1,False,False,15462.84,False
687,France,Male,35,8,0.0,2,True,False,10334.05,False
712,France,Female,33,6,0.0,2,True,True,190686.16,False
553,France,Male,33,4,118082.89,1,False,False,94440.45,False
667,France,Male,31,1,119266.69,1,True,True,28257.63,False
731,France,Male,43,2,0.0,1,True,True,170034.95,True
629,Germany,Male,35,7,156847.29,2,True,False,31824.29,False
614,France,Male,50,4,137104.47,1,True,False,127166.49,True
438,Germany,Male,31,8,78398.69,1,True,False,44937.01,False
652,France,Female,80,4,0.0,2,True,True,188603.07,False
729,Germany,Male,30,6,63669.42,1,True,False,145111.37,False
642,France,Male,38,3,0.0,2,False,False,171463.83,False
806,Germany,Female,59,0,135296.33,1,True,False,182822.5,False
744,Spain,Male,36,2,153804.44,1,True,True,87213.33,False
474,Spain,Male,37,3,0.0,2,False,False,57175.32,False
559,France,Male,49,2,147069.78,1,True,False,120540.83,True
706,Spain,Male,42,9,0.0,2,True,True,28714.34,False
628,Spain,Female,22,3,0.0,1,True,False,85426.28,False
429,France,Male,24,4,95741.75,1,True,False,46170.75,False
525,Spain,Female,57,2,145965.33,1,True,True,64448.36,False
680,France,Female,30,8,141441.75,1,True,True,16278.97,False
749,France,Male,40,1,139290.41,1,True,False,182855.42,True
763,France,Female,31,4,0.0,2,False,False,50404.72,False
734,France,Male,30,3,0.0,2,True,False,107640.25,False
716,France,Male,35,4,144428.87,1,True,False,134132.65,False
594,France,Male,35,2,0.0,2,True,False,103480.69,False
644,France,Female,46,9,95441.27,1,True,False,108761.05,True
671,Germany,Male,35,1,144848.74,1,True,True,179012.3,False
664,Germany,Male,26,7,116244.14,2,True,True,95145.14,False
656,France,Male,50,7,0.0,2,False,True,72143.44,False
667,Spain,Female,40,1,146502.07,1,True,False,19162.89,False
663,Germany,Male,44,2,117028.6,2,False,True,144680.18,False
584,Germany,Female,30,8,112013.81,1,True,False,177772.03,True
626,Spain,Female,37,6,108269.37,1,True,False,5597.94,False
485,France,Male,29,7,182123.79,1,True,False,116828.51,True
659,Germany,Female,32,3,150923.74,2,False,True,174652.51,False
649,France,Male,33,2,0.0,2,True,False,2010.98,False
805,Spain,Female,39,5,165272.13,1,True,False,14109.85,True
716,Germany,Female,39,10,115301.31,1,True,False,43527.4,True
642,Germany,Female,40,6,129502.49,2,False,True,86099.23,True
659,France,Male,31,4,118342.26,1,False,False,161574.19,False
545,Spain,Female,47,5,0.0,2,True,True,38970.14,False
543,France,Male,22,8,0.0,2,False,False,127587.22,False
718,France,Female,25,7,0.0,2,True,False,30380.12,False
840,France,Female,43,7,0.0,2,True,False,90908.95,False
630,Germany,Female,34,9,106937.05,2,True,False,138275.01,False
643,Germany,Male,59,3,170331.37,1,True,True,32171.79,False
654,Germany,Female,32,1,114510.85,1,True,True,126143.23,False
582,France,Male,39,5,0.0,2,True,True,129892.93,False
659,Spain,Male,32,3,107594.11,2,True,True,102416.84,False
762,Spain,Male,39,2,81273.13,1,True,True,18719.67,False
568,Spain,Female,32,7,169399.6,1,True,False,61936.22,False
670,Spain,Male,25,6,0.0,2,True,True,78358.94,False
613,France,Female,45,1,187841.99,2,True,True,147224.27,False
539,France,Male,30,0,0.0,2,True,False,160979.66,False
850,Spain,Female,57,8,126776.3,2,True,True,132298.49,False
522,Spain,Male,34,9,126436.29,1,True,False,174248.52,True
737,France,Male,41,1,101960.74,1,True,True,123547.28,False
520,France,Male,58,3,0.0,2,False,True,32790.02,False
706,Spain,Male,28,3,0.0,2,False,True,181543.67,False
643,Germany,Female,45,2,150842.93,1,False,True,2319.96,True
648,France,Female,50,9,102535.57,1,True,True,189543.19,False
443,Germany,Female,29,9,99027.61,2,True,False,10940.4,False
640,France,Male,68,9,0.0,2,True,True,199493.38,False
628,Spain,Female,33,3,0.0,1,True,True,188193.25,False
540,Germany,Female,42,9,87271.41,2,True,False,172572.64,False
460,Germany,Female,35,8,102742.91,2,True,True,189339.6,False
636,Germany,Male,34,2,40105.51,2,False,True,53512.16,False
593,France,Female,29,2,152265.43,1,True,False,34004.44,False
801,Spain,Male,42,4,141947.67,1,True,True,10598.29,False
640,Germany,Female,75,1,106307.91,2,False,True,113428.77,False
611,Germany,Male,31,0,107884.81,2,True,True,183487.98,False
802,Germany,Male,31,1,125013.72,1,True,True,187658.09,False
717,Germany,Male,35,7,58469.37,2,True,True,172459.39,False
769,France,Female,39,8,0.0,1,False,True,21016.0,False
745,Germany,Male,45,10,117231.63,3,True,True,122381.02,True
572,Spain,Male,35,4,152390.26,1,True,False,128123.66,False
629,Spain,Female,30,2,34013.63,1,True,False,19570.63,False
687,Spain,Female,39,2,0.0,3,False,False,188150.6,True
483,France,Female,50,9,0.0,2,True,True,111020.24,False
690,France,Male,36,7,101583.11,2,True,False,123775.15,False
492,Germany,Female,30,10,77168.87,2,False,True,146700.22,False
709,Germany,Male,28,8,124695.72,2,True,False,145251.35,False
705,Germany,Male,44,3,105934.96,1,True,False,82463.69,False
560,France,Female,66,9,0.0,1,True,True,15928.49,False
611,Spain,Male,46,6,0.0,2,True,False,45886.33,False
730,Spain,Male,62,2,0.0,2,True,True,186489.95,False
709,Spain,Female,45,2,0.0,2,False,True,162922.65,False
544,France,Female,21,10,161525.96,2,True,False,9262.77,False
712,Germany,Female,29,7,147199.07,1,True,True,84932.4,False
752,Germany,Male,38,3,183102.29,1,True,True,71557.12,False
648,Spain,Male,46,9,127209.0,2,True,False,77405.95,True
556,Spain,Male,38,8,0.0,2,False,False,417.41,True
594,Spain,Female,24,0,97378.54,1,True,True,71405.17,False
645,Germany,Female,37,2,136925.09,2,False,True,153400.24,False
557,France,Male,33,3,54503.55,1,True,True,371.05,False
547,Germany,Male,32,8,155726.85,1,True,False,67789.99,False
701,France,Female,39,9,0.0,2,False,True,145894.9,False
616,France,Female,66,1,135842.41,1,True,False,183840.51,True
605,France,Male,52,1,63349.75,1,True,False,108887.44,False
593,Germany,Female,38,4,129499.42,1,True,True,154071.27,False
751,Spain,Male,52,8,0.0,2,False,True,179291.85,False
443,Spain,Male,36,6,70438.01,2,False,True,56937.43,False
685,France,Male,23,8,0.0,2,True,True,112239.03,False
718,France,Male,36,9,0.0,1,True,False,45909.87,False
538,Spain,Female,49,9,141434.04,1,False,False,173779.25,True
611,Spain,Female,37,4,0.0,2,True,False,125696.26,False
668,Germany,Male,37,10,152958.29,2,True,True,159585.61,False
537,Germany,Female,41,3,138306.34,1,True,False,106761.47,False
709,Spain,Male,23,10,0.0,2,False,False,129590.18,False
850,France,Male,38,1,0.0,2,True,True,80006.65,False
745,Spain,Female,31,3,124328.84,1,True,True,140451.52,False
693,Germany,Female,41,9,181461.48,3,True,True,187929.43,True
795,Spain,Male,35,8,0.0,2,True,False,167155.36,False
626,Spain,Male,26,8,0.0,2,False,False,191420.71,False
487,Germany,Female,61,5,110368.03,1,False,False,11384.45,True
556,France,Female,39,9,89588.35,1,True,True,94898.1,False
643,France,Female,46,6,0.0,2,False,False,106781.59,False
605,France,Female,28,6,0.0,2,False,False,159508.52,False
756,Germany,Female,60,3,115924.89,1,True,False,93524.19,True
586,France,Female,38,2,0.0,2,True,False,87168.46,False
535,Germany,Male,40,7,111756.5,1,True,False,8128.32,True
678,France,Female,35,4,0.0,1,True,False,125518.32,False
596,France,Male,39,9,0.0,1,True,False,48963.59,False
648,France,Male,26,9,162923.85,1,True,False,98368.24,False
492,Germany,Male,39,10,124576.65,2,True,False,148584.61,False
702,France,Male,45,0,80793.58,1,True,True,27474.81,False
486,Germany,Female,40,9,71340.09,1,True,False,76192.21,False
568,Germany,Male,40,1,99282.63,1,False,False,134600.94,True
619,Germany,Male,57,3,137946.39,1,True,True,72467.99,True
724,Germany,Male,41,2,127892.57,2,False,True,199645.45,False
548,Germany,Female,33,0,101084.36,1,True,False,42749.85,False
545,Germany,Female,37,8,114754.08,1,True,False,136050.44,True
683,France,Male,33,8,0.0,1,False,False,73564.44,False
762,France,Female,51,3,99286.98,1,False,True,85578.63,False
627,Germany,Female,30,4,79871.02,2,True,False,129826.89,False
516,France,Male,35,10,104088.59,2,False,False,119666.0,False
800,France,Female,38,2,168190.33,2,True,False,68052.08,False
464,Germany,Female,42,3,85679.25,1,True,True,164104.74,False
626,France,Female,35,3,0.0,1,False,False,80190.36,False
790,France,Female,31,9,0.0,2,True,False,84126.75,False
534,France,Female,34,7,121551.58,2,True,True,70179.0,False
745,France,Male,46,2,122220.19,1,True,True,118024.1,False
553,Spain,Male,47,3,116528.15,1,False,False,145704.19,True
748,France,Female,26,1,77780.29,1,False,True,183049.41,False
722,France,Male,37,2,0.0,1,False,False,120906.83,False
501,France,Male,40,4,125832.2,1,True,True,100433.83,False
675,France,Female,38,6,68065.8,1,False,False,138777.0,True
778,Spain,Female,47,6,127299.34,2,True,False,124694.99,False
494,Germany,Female,38,7,174937.64,1,True,False,40084.32,False
850,France,Male,40,9,0.0,2,False,True,119232.33,False
592,Spain,Male,31,7,110071.1,1,False,False,43921.36,False
590,Spain,Female,44,3,139432.37,1,True,False,62222.81,False
758,France,Female,39,6,127357.76,1,False,True,56577.0,False
506,France,Male,36,5,0.0,2,True,False,164253.35,False
733,France,Male,33,3,0.0,1,True,True,7666.73,False
711,France,Male,38,3,0.0,2,True,False,68487.51,False
514,Germany,Male,43,1,95556.31,1,False,True,199273.98,True
637,Spain,Male,37,8,0.0,1,True,True,186062.36,False
468,Germany,Male,29,1,111681.98,2,True,True,195711.16,False
539,France,Male,39,3,0.0,2,True,False,36692.17,False
509,Spain,Female,25,3,108738.71,2,True,False,106920.57,False
662,France,Female,32,4,133950.37,1,True,True,48725.68,True
818,Spain,Male,26,4,0.0,2,True,True,167036.94,False
608,France,Male,33,9,89968.69,1,True,False,68777.26,False
